Model,MSE,RMSE,MAE,R2,MAPE
LN-TSDM,527652.2951788816,726.3967890752833,622.935407795791,0.8594463562926372,4.245742203328223
ElasticNet,1705792.508445863,1306.059917632366,1032.6531227305588,0.5456186684651719,7.083313738825649
Random Forest,113020.6090174853,336.18537894662416,225.62545713728773,0.9698940788155818,1.4883591812245744
